ability,classes,wowhead_effects,effect_profile
Abolish Disease,Priest,Apply Aura: Periodically trigger spell + → Dispel + Dispel,Dispel / cleanse
Abolish Poison,Druid,Apply Aura: Periodically trigger spell + Dispel (Poison),Dispel / cleanse
Ambush,Rogue,Normalized Weapon Dmg + Weapon % Damage + Add Combo Points,Weapon strike
Amplify Magic,Mage,Apply Aura: Mod Damage Taken (All) + Apply Aura: Mod Healing Taken - Flat (All),Stat & combat mods
Ancestral Spirit,Shaman,Effect #329,Other / utility
Aquatic Form,Druid,Apply Aura: Shapeshift (Aquatic Form) + Apply Aura: Immunity - Mechanic (Polymorphed),Shapeshift
Aquatic Form (Passive),Druid,Apply Aura: Increase Swim Speed % + Apply Aura: Underwater Breathing,Movement
Arcane Brilliance,Mage,Apply Aura: Mod Stat (Intellect),Stat & combat mods
Arcane Explosion,Mage,School Damage (Arcane),Direct spell damage
Arcane Intellect,Mage,Apply Aura: Mod Stat (Intellect),Stat & combat mods
Arcane Missiles,Mage,Apply Aura: Periodically trigger spell + → School Damage (Arcane) + Apply Aura: Dummy,Direct spell damage
Arcane Shot,Hunter,School Damage (Arcane),Direct spell damage
Aspect of the Beast,Hunter,Apply Aura: Aura #120,Other / utility
Aspect of the Cheetah,Hunter,Apply Aura: Increase Run Speed % + Apply Aura: Proc Trigger Spell,Movement
Aspect of the Hawk,Hunter,Apply Aura: Mod Ranged Attack Power + Apply Aura: Proc Trigger Spell,Stat & combat mods
Aspect of the Monkey,Hunter,Apply Aura: Mod Dodge %,Stat & combat mods
Aspect of the Pack,Hunter,Apply Area Aura: Increase Run Speed % + Apply Area Aura: Proc Trigger Spell,Movement
Aspect of the Wild,Hunter,Apply Area Aura: Mod Resistance - Flat - Does not Stack,Stat & combat mods
Astral Recall,Shaman,Teleport Units,Teleportation
Auto Shot,Hunter,Weapon Damage,Weapon strike
Backstab,Rogue,Normalized Weapon Dmg + Weapon % Damage + Add Combo Points,Weapon strike
Banish,Warlock,Apply Aura: Stun + Apply Aura: School Immunity,Hard control
Barkskin,Druid,"Apply Aura: Decrease Pushback Time by % (Arcane, Fire, Frost, Holy, Nature, Physical, Shadow) + Apply Aura: Modifies Cast Time (10)",Other / utility
Bash,Druid,Apply Aura: Stun,Hard control
Battle Shout,Warrior,Apply Aura: Mod Attack Power,Stat & combat mods
Battle Stance,Warrior,Apply Aura: Shapeshift,Shapeshift
Bear Form,Druid,Apply Aura: Shapeshift (Bear Form) + Apply Aura: Immunity - Mechanic (Polymorphed),Shapeshift
Beast Lore,Hunter,Apply Aura: Aura #121,Other / utility
Beast Training,Hunter,Effect #47,Other / utility
Berserker Rage,Warrior,Apply Aura: Immunity - Mechanic + Apply Aura: Immunity - Mechanic,Immunity
Berserker Stance,Warrior,Apply Aura: Shapeshift,Shapeshift
Black Arrow,Hunter,Apply Aura: Decrease Run Speed % + Apply Aura: Periodic Damage + Apply Aura: Periodically Drain Power (Mana),Damage over time
Blast Wave,Mage,School Damage (Fire) + Apply Aura: Mod Decrease Speed,Root & snare
Blessing of Freedom,Paladin,Apply Aura: Immunity - Mechanic + Apply Aura: Immunity - Mechanic,Immunity
Blessing of Kings,Paladin,Apply Aura: Aura #137,Other / utility
Blessing of Light,Paladin,Apply Aura: Dummy + Apply Aura: Dummy,Other / utility
Blessing of Might,Paladin,Apply Aura: Mod Attack Power,Stat & combat mods
Blessing of Protection,Paladin,Apply Aura: School Immunity + Apply Aura: Mod Pacify,Hard control
Blessing of Sacrifice,Paladin,Apply Aura: Aura #562,Other / utility
Blessing of Salvation,Paladin,Apply Aura: Mod Threat,Threat manipulation
Blessing of Wisdom,Paladin,Apply Aura: Periodically give power,Other / utility
Blind,Rogue,Apply Aura: Mod Decrease Speed + Apply Aura: Mod Confuse,Hard control
Blink,Mage,Blink + Apply Aura: Immunity - Mechanic (Stunned) + Apply Aura: Immunity - Mechanic (Rooted),Immunity
Blizzard,Mage,Apply Aura: Periodic Damage,Damage over time
Bloodrage,Warrior,Give Power + Trigger Spell + → Apply Aura: Periodically give power + → Apply Aura: Interrupt Power Decay,Resource manipulation
Bloodthirst,Warrior,School Damage (Physical),Direct spell damage
Call Pet,Hunter,Summon Pet (0) + Script Effect,Summoning
Cat Form,Druid,Apply Aura: Shapeshift (Cat Form) + Apply Aura: Immunity - Mechanic (Polymorphed) + Apply Aura: Periodically trigger spell,Shapeshift
Chain Heal,Shaman,Heal,Healing
Chain Lightning,Shaman,School Damage (Nature),Direct spell damage
Challenging Roar,Druid,Apply Aura: Taunt,Threat manipulation
Challenging Shout,Warrior,Apply Aura: Taunt,Threat manipulation
Charge,Warrior,Effect #96 + Give Power + Trigger Spell + → Apply Aura: Stun,Hard control
Cheap Shot,Rogue,Apply Aura: Stun + Add Combo Points,Hard control
Chilled,Mage,Apply Aura: Mod Decrease Speed,Root & snare
Claw,Druid,Deal Weapon Damage + Add Combo Points,Weapon strike
Cleanse,Paladin,Dispel + Dispel + Dispel,Dispel / cleanse
Cleave,Warrior,Weapon Damage (noschool),Weapon strike
Cobra Reflexes,Hunter,Learn Spell,Other / utility
Combustion,Mage,"Apply Aura: Dummy + Trigger Spell
Combustion",Other / utility
Concentration Aura,Paladin,Apply Area Aura: Decrease Pushback Time by % + Apply Area Aura: Aura #117 + Apply Area Aura: Aura #117,Other / utility
Concussive Shot,Hunter,Apply Aura: Mod Decrease Speed,Root & snare
Cone of Cold,Mage,Apply Aura: Mod Decrease Speed + School Damage (Frost),Root & snare
Conflagrate,Warlock,School Damage (Fire),Direct spell damage
Conjure Food,Mage,Create Item,Item creation
Conjure Mana Agate,Mage,Create Item,Item creation
Conjure Mana Citrine,Mage,Create Item,Item creation
Conjure Mana Jade,Mage,Create Item,Item creation
Conjure Mana Ruby,Mage,Create Item,Item creation
Conjure Water,Mage,Create Item,Item creation
Consecration,Paladin,Apply Aura: Periodic Damage,Damage over time
Corruption,Warlock,Apply Aura: Periodic Damage,Damage over time
Counterattack,Hunter,School Damage (Physical) + Apply Aura: Root,Direct spell damage
Counterspell,Mage,Interrupt Cast,Interrupt / lockout
Cower,Druid,Threat,Threat manipulation
Create Firestone,Warlock,Create Item,Item creation
Create Firestone (Greater),Warlock,Create Item,Item creation
Create Firestone (Lesser),Warlock,Create Item,Item creation
Create Firestone (Major),Warlock,Create Item,Item creation
Create Healthstone,Warlock,Script Effect,Other / utility
Create Healthstone (Greater),Warlock,Script Effect,Other / utility
Create Healthstone (Lesser),Warlock,Script Effect,Other / utility
Create Healthstone (Major),Warlock,Script Effect,Other / utility
Create Healthstone (Minor),Warlock,Script Effect,Other / utility
Create Soulstone,Warlock,Create Item,Item creation
Create Soulstone (Greater),Warlock,Create Item,Item creation
Create Soulstone (Lesser),Warlock,Create Item,Item creation
Create Soulstone (Major),Warlock,Create Item,Item creation
Create Soulstone (Minor),Warlock,Create Item,Item creation
Create Spellstone,Warlock,Create Item,Item creation
Create Spellstone (Greater),Warlock,Create Item,Item creation
Create Spellstone (Major),Warlock,Create Item,Item creation
Cure Disease,Priest,Dispel,Dispel / cleanse
Cure Disease,Shaman,Dispel,Dispel / cleanse
Cure Poison,Druid,Dispel,Dispel / cleanse
Cure Poison,Shaman,Dispel,Dispel / cleanse
Curse of Agony,Warlock,Apply Aura: Periodic Damage,Damage over time
Curse of Doom,Warlock,Apply Aura: Periodic Damage,Damage over time
Curse of Idiocy,Warlock,Apply Aura: Mod Stat (Intellect) + Apply Aura: Mod Stat (Spirit) + Apply Aura: Periodically trigger spell,Stat & combat mods
Curse of Recklessness,Warlock,Apply Aura: Mod Attack Power + Apply Aura: Mod Resistance + Apply Aura: Aura #92,Stat & combat mods
Curse of Shadow,Warlock,Apply Aura: Mod Resistance + Apply Aura: Mod Damage % Taken,Stat & combat mods
Curse of Tongues,Warlock,Apply Aura: Mod Casting Speed + Apply Aura: Mod Language,Stat & combat mods
Curse of Weakness,Warlock,Apply Aura: Mod Damage Done,Stat & combat mods
Curse of the Elements,Warlock,Apply Aura: Mod Resistance + Apply Aura: Mod Damage % Taken,Stat & combat mods
Dampen Magic,Mage,Apply Aura: Mod Damage Taken + Apply Aura: Mod Healing Taken - Flat,Stat & combat mods
Dark Pact,Warlock,Power Drain,Resource manipulation
Dash,Druid,Apply Aura: Mod Increase Speed,Movement
Death Coil,Warlock,Health Leech + Apply Aura: Mod Fear,Hard control
Defensive Stance,Warrior,Apply Aura: Shapeshift,Shapeshift
Demon Armor,Warlock,Apply Aura: Mod Resistance + Apply Aura: Mod Resistance + Apply Aura: Aura #161,Stat & combat mods
Demon Skin,Warlock,Apply Aura: Mod Resistance + Apply Aura: Aura #161,Stat & combat mods
Demoralizing Roar,Druid,Apply Aura: Mod Attack Power,Stat & combat mods
Demoralizing Shout,Warrior,Apply Aura: Mod Attack Power,Stat & combat mods
Desperate Prayer,Priest,Heal,Healing
Detect Greater Invisibility,Warlock,Apply Aura: Mod Invisibility Detection,Concealment
Detect Invisibility,Warlock,Apply Aura: Mod Invisibility Detection,Concealment
Detect Lesser Invisibility,Warlock,Apply Aura: Mod Invisibility Detection,Concealment
Detect Magic,Mage,Apply Aura: Aura #100,Other / utility
Detect Traps,Rogue,Apply Aura: Mod Stealth Detect + Apply Aura: Mod Invisibility Detection,Concealment
Devotion Aura,Paladin,Apply Area Aura: Mod Resistance,Stat & combat mods
Devouring Plague,Priest,Apply Aura: Periodic Leech,Damage over time
Dire Bear Form,Druid,Apply Aura: Shapeshift (Dire Bear Form) + Apply Aura: Immunity - Mechanic (Polymorphed),Shapeshift
Disarm,Warrior,Apply Aura: Mod Disarm,Other / utility
Disarm Trap,Rogue,Open Lock,Other / utility
Disease Cleansing Totem,Shaman,Summon,Summoning
Disengage,Hunter,Threat,Threat manipulation
Dismiss Pet,Hunter,Drain Power (27) + Dismiss Pet,Companion care
Dispel Magic,Priest,Dispel,Dispel / cleanse
Distract,Rogue,Distract,Other / utility
Distracting Shot,Hunter,Threat,Threat manipulation
Divine Intervention,Paladin,Effect #79 + Trigger Spell + → Apply Aura: School Immunity + → Apply Aura: Stun + → Apply Aura: Aura #93 + Instakill,Hard control
Divine Protection,Paladin,Apply Aura: Mod Pacify + Apply Aura: School Immunity + Apply Aura: School Immunity,Hard control
Divine Shield,Paladin,Apply Aura: School Immunity + Apply Aura: Mod Haste + Apply Aura: School Immunity + Apply Aura: Mod Damage % Done,Stat & combat mods
Divine Spirit,Priest,Apply Aura: Mod Stat (Spirit),Stat & combat mods
Drain Life,Warlock,Apply Aura: Periodic Leech,Damage over time
Drain Mana,Warlock,Apply Aura: Periodic Mana Leech,Resource manipulation
